,transfer time,request number,byte count,completion status
2017-6-3 15:30,3982,2942,684079476,0
2017-6-3 15:40,2708,1832,457337224,0
2017-6-3 15:50,1520,1071,85211608,0
2017-6-3 16:00,5057,3702,1103276948,0
2017-6-3 16:10,7240,2219,914412292,0
2017-6-3 16:20,3484,2335,511272508,0
2017-6-3 16:30,2850,1454,783601856,0
2017-6-3 16:40,3608,1611,1012351856,0
2017-6-3 16:50,4094,2273,1014679690,0
2017-6-3 17:00,13617,2774,1699281639,0
2017-6-3 17:10,3010,2527,286762820,0
2017-6-3 17:20,1905,1239,126990048,0
2017-6-3 17:30,1912,1237,134295548,0
2017-6-3 17:40,1860,1237,116362772,0
2017-6-3 17:50,1941,1260,90707548,0
2017-6-3 18:00,2157,1321,177688177,0
2017-6-3 18:10,2337,1378,212880369,0
2017-6-3 18:20,2541,1364,532895856,0
2017-6-3 18:30,2401,1336,410780384,0
2017-6-3 18:40,2524,1355,657553330,0
2017-6-3 18:50,2513,1385,587487802,0
2017-6-3 19:00,2346,1331,505929184,0
2017-6-3 19:10,2541,1266,608653796,0
2017-6-3 19:20,2384,1295,680712504,1
2017-6-3 19:30,2369,1271,664655760,1
2017-6-3 19:40,2305,1220,702851456,0
2017-6-3 19:50,2416,1312,592139858,0
2017-6-3 20:00,3335,2043,1225605473,0
2017-6-3 20:10,2627,1499,743350708,0
2017-6-3 20:20,7958,1307,1418689196,0
2017-6-3 20:30,15379,1325,2294101044,0
2017-6-3 20:40,2344,1246,826893712,0
2017-6-3 20:50,2351,1355,825752932,1
2017-6-3 21:00,2518,1257,1105466780,0
2017-6-3 21:10,2436,1313,699524512,1
2017-6-3 21:20,2349,1335,671773216,0
2017-6-3 21:30,2634,1448,844293904,0
2017-6-3 21:40,2559,1461,698022900,0
2017-6-3 21:50,2282,1160,862003748,1
2017-6-3 22:00,2234,1060,1267414719,0
2017-6-3 22:10,2249,1213,1154179896,1
2017-6-3 22:20,2248,1256,904573096,1
2017-6-3 22:30,2223,1174,1091128508,1
2017-6-3 22:40,2131,1173,1260699680,0
2017-6-3 22:50,2260,1350,1406045811,1
2017-6-3 23:00,2159,1268,1508573837,0
2017-6-3 23:10,2288,1278,1151070300,1
2017-6-3 23:20,2445,1309,749016512,1
2017-6-3 23:30,2278,1149,1071863892,1
2017-6-3 23:40,2173,1155,1330236616,0
2017-6-3 23:50,2262,1322,972059868,1
2017-6-4 0:00,2278,829,1439721579,1
2017-6-4 0:10,1791,719,896267864,1
2017-6-4 0:20,1426,621,850893464,1
2017-6-4 0:30,1013,408,890222008,0
2017-6-4 0:40,862,209,760709616,1
2017-6-4 0:50,373,147,58343436,1
2017-6-4 1:00,426,154,73998256,1
2017-6-4 1:10,418,213,58436196,1
2017-6-4 1:20,420,247,55212984,1
2017-6-4 1:30,417,144,73894412,1
2017-6-4 1:40,389,246,35241908,1
2017-6-4 1:50,349,298,13307492,1
2017-6-4 2:00,377,326,23981816,1
2017-6-4 2:10,383,333,25483916,1
2017-6-4 2:20,367,290,27836408,1
2017-6-4 2:30,351,305,11628372,1
2017-6-4 2:40,360,294,17769208,1
2017-6-4 2:50,350,302,11557452,1
2017-6-4 3:00,369,272,33039032,1
2017-6-4 3:10,371,210,47763508,1
2017-6-4 3:20,361,335,13873592,1
2017-6-4 3:30,364,329,14720320,1
2017-6-4 3:40,386,184,58825196,1
2017-6-4 3:50,379,224,48380512,1
2017-6-4 4:00,379,243,43816540,1
2017-6-4 4:10,382,159,57357252,1
2017-6-4 4:20,372,282,32526720,1
2017-6-4 4:30,368,272,28772696,1
2017-6-4 4:40,385,265,42359032,1
2017-6-4 4:50,368,333,17360308,1
2017-6-4 5:00,379,289,32750728,1
2017-6-4 5:10,364,314,22817312,1
2017-6-4 5:20,366,305,20579920,1
2017-6-4 5:30,364,302,24172276,1
2017-6-4 5:40,354,275,26291092,1
2017-6-4 5:50,366,328,20503424,1
2017-6-4 6:00,368,326,17528544,1
2017-6-4 6:10,370,291,26110312,1
2017-6-4 6:20,366,265,32798100,1
2017-6-4 6:30,367,328,18734132,1
2017-6-4 6:40,400,139,83844792,1
2017-6-4 6:50,374,315,22978240,1
2017-6-4 7:00,361,328,16162700,1
2017-6-4 7:10,366,331,18331476,1
2017-6-4 7:20,366,329,17819176,1
2017-6-4 7:30,363,337,15484252,1
2017-6-4 7:40,368,323,20304944,1
2017-6-4 7:50,367,337,15606516,1
2017-6-4 8:00,366,322,21205052,1
2017-6-4 8:10,370,322,24465128,1
2017-6-4 8:20,391,257,26481236,1
2017-6-4 8:30,370,286,19706172,1
2017-6-4 8:40,365,320,17148232,1
2017-6-4 8:50,360,321,18213708,1
2017-6-4 9:00,372,285,28158268,1
2017-6-4 9:10,362,337,13726448,1
2017-6-4 9:20,360,337,13688312,1
2017-6-4 9:30,361,295,25770764,1
2017-6-4 9:40,365,334,14868924,1
2017-6-4 9:50,362,339,13960740,1
2017-6-4 10:00,364,323,21519216,1
2017-6-4 10:10,376,276,27847300,1
2017-6-4 10:20,369,309,22677436,1
2017-6-4 10:30,360,335,13979348,1
2017-6-4 10:40,364,333,14054216,1
2017-6-4 10:50,364,336,12724560,1
2017-6-4 11:00,365,303,18480416,1
2017-6-4 11:10,361,336,13493920,1
2017-6-4 11:20,362,338,12473460,1
2017-6-4 11:30,366,314,23167948,1
2017-6-4 11:40,347,304,16591804,1
2017-6-4 11:50,368,326,14255936,1
2017-6-4 12:00,390,241,38317196,1
2017-6-4 12:10,390,251,31458376,1
2017-6-4 12:20,368,298,16683144,1
2017-6-4 12:30,362,337,13400792,1
2017-6-4 12:40,366,328,13547720,1
2017-6-4 12:50,393,269,31541616,1
2017-6-4 13:00,392,241,33693688,1
2017-6-4 13:10,388,219,37128324,1
2017-6-4 13:20,424,241,42384276,1
2017-6-4 13:30,380,282,15612584,1
2017-6-4 13:40,360,313,15217360,1
2017-6-4 13:50,377,294,32112776,1
2017-6-4 14:00,393,247,33242552,1
2017-6-4 14:10,375,292,16124408,1
2017-6-4 14:20,361,335,14106632,1
2017-6-4 14:30,360,342,10732504,1
2017-6-4 14:40,361,348,10160380,1
2017-6-4 14:50,367,332,15066516,1
2017-6-4 15:00,360,345,10344932,1
2017-6-4 15:10,370,334,15201428,1
2017-6-4 15:20,360,336,14132400,1
2017-6-4 15:30,361,342,12556704,1
2017-6-4 15:40,365,335,14208036,1
2017-6-4 15:50,357,349,10487140,1
2017-6-4 16:00,362,340,12943688,1
2017-6-4 16:10,360,351,10138348,1
2017-6-4 16:20,361,344,11988464,1
2017-6-4 16:30,364,348,10874072,1
2017-6-4 16:40,364,343,11663840,1
2017-6-4 16:50,383,283,26357948,1
2017-6-4 17:00,408,242,31849976,1
2017-6-4 17:10,403,232,41953840,1
2017-6-4 17:20,412,238,30972808,1
2017-6-4 17:30,403,242,31576816,1
2017-6-4 17:40,377,297,27637932,1
2017-6-4 17:50,363,353,8337892,1
2017-6-4 18:00,393,253,31494352,1
2017-6-4 18:10,401,259,28671668,1
2017-6-4 18:20,357,348,10163204,1
2017-6-4 18:30,363,337,12804548,1
2017-6-4 18:40,360,344,9914936,1
2017-6-4 18:50,367,328,15973892,1
2017-6-4 19:00,358,345,9963276,1
2017-6-4 19:10,363,337,14153280,1
2017-6-4 19:20,358,346,10106464,1
2017-6-4 19:30,370,326,21255148,1
2017-6-4 19:40,387,257,29442812,1
2017-6-4 19:50,379,262,28187200,1
2017-6-4 20:00,392,250,38779832,1
